id,informativeness,naturalness,quality,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
10,4.5,5.0,3.5,-3.659938335418701,-3.5486464500427246,"[0.6523849964141846, 0.7713770270347595, 0.8127176761627197, 0.7258976101875305, 0.7632066011428833, 0.8150075078010559, 0.84477698802948, 0.9999998807907104, 0.8269277811050415, 0.9578287601470947, 0.6452547311782837, 0.7475644946098328]","[0.5482431650161743, 0.6530814170837402, 0.7055392265319824, 0.629568338394165, 0.7051923871040344, 0.7316774129867554, 0.8658335208892822, 0.9999998807907104, 0.7873404026031494, 0.9634584784507751, 0.6870170831680298, 0.6132540106773376]","[0.5957974791526794, 0.7073172330856323, 0.7553454041481018, 0.6743100881576538, 0.73305344581604, 0.7710976600646973, 0.8551756739616394, 0.9999998807907104, 0.8066486716270447, 0.9606353640556335, 0.6654813289642334, 0.673781156539917]","[0.2222222222222222, 0.4444444444444444, 0.5555555555555556, 0.5555555555555556, 0.4444444444444444, 0.4444444444444444, 0.5555555555555556, 1.0, 0.4444444444444444, 0.7777777777777778, 0.2222222222222222, 0.5555555555555556]","[0.2, 0.26666666666666666, 0.5, 0.4166666666666667, 0.4, 0.36363636363636365, 0.7142857142857143, 1.0, 0.5, 0.875, 0.4, 0.35714285714285715]","[0.21052631080332423, 0.33333332864583337, 0.5263157844875347, 0.47619047129251707, 0.42105262659279785, 0.39999999505, 0.6249999950781252, 0.999999995, 0.4705882303114187, 0.823529406782007, 0.285714281122449, 0.4347826039319471]","[0.0, 0.0, 0.375, 0.125, 0.0, 0.125, 0.375, 1.0, 0.25, 0.5, 0.125, 0.125]","[0.0, 0.0, 0.3333333333333333, 0.09090909090909091, 0.0, 0.1, 0.5, 1.0, 0.2857142857142857, 0.5714285714285714, 0.25, 0.07142857142857142]","[0.0, 0.0, 0.35294117148788934, 0.1052631530193908, 0.0, 0.11111110617283973, 0.4285714236734694, 0.999999995, 0.266666661688889, 0.5333333283555556, 0.16666666222222234, 0.09090908628099197]","[0.2222222222222222, 0.4444444444444444, 0.5555555555555556, 0.4444444444444444, 0.3333333333333333, 0.4444444444444444, 0.5555555555555556, 1.0, 0.4444444444444444, 0.7777777777777778, 0.2222222222222222, 0.4444444444444444]","[0.2, 0.26666666666666666, 0.5, 0.3333333333333333, 0.3, 0.36363636363636365, 0.7142857142857143, 1.0, 0.5, 0.875, 0.4, 0.2857142857142857]","[0.21052631080332423, 0.33333332864583337, 0.5263157844875347, 0.38095237605442184, 0.31578946869806096, 0.39999999505, 0.6249999950781252, 0.999999995, 0.4705882303114187, 0.823529406782007, 0.285714281122449, 0.3478260821928167]","[0.10101010101010102, 0.1736111111111111, 0.48888888888888893, 0.31794871794871804, 0.3444444444444445, 0.29224537037037035, 0.6722222222222223, 0.9993141289437586, 0.5975308641975308, 0.8301839254220206, 0.34722222222222227, 0.2583333333333333]","[1.1193096620723278e-231, 1.1193096620723278e-231, 1.1193096620723278e-231, 1.2508498911928379e-231, 1.1193096620723278e-231, 1.1193096620723278e-231, 1.1193096620723278e-231, 1.2508498911928379e-231, 1.1193096620723278e-231, 1.2508498911928379e-231, 9.412234823955334e-232, 1.1193096620723278e-231]","[0.21502611523555282, 0.30697152297443764, 0.43572391917734643, 0.3349059472960786, 0.35008611569394077, 0.3763597209729157, 0.5984512094963724, 1.0, 0.5702307978845361, 0.830021114253018, 0.28189436897036246, 0.26375469935447426]",0.7276974713943624,0.8968460574611844,0.935850719693098,0.9616440219935743,0.9314469330492856
11,5.0,4.0,4.0,-2.154298782348633,-3.3483853340148926,"[0.7803785800933838, 0.7526034116744995, 0.7292155027389526, 0.9999999403953552, 0.9711499214172363, 0.8566734194755554, 0.8416917324066162]","[0.8855615258216858, 0.7882940769195557, 0.7613989114761353, 0.9999999403953552, 0.9881896376609802, 0.8754556179046631, 0.8726016283035278]","[0.8296495676040649, 0.7700353860855103, 0.7449597716331482, 0.9999999403953552, 0.9795956015586853, 0.8659626841545105, 0.8568680286407471]","[0.6923076923076923, 0.5384615384615384, 0.5384615384615384, 1.0, 0.9230769230769231, 0.6923076923076923, 0.6153846153846154]","[0.9, 0.5833333333333334, 0.7, 1.0, 1.0, 0.75, 0.7272727272727273]","[0.78260869073724, 0.559999995008, 0.6086956472589792, 0.999999995, 0.959999995008, 0.7199999950079999, 0.666666661701389]","[0.6666666666666666, 0.3333333333333333, 0.4166666666666667, 1.0, 0.8333333333333334, 0.3333333333333333, 0.3333333333333333]","[0.8888888888888888, 0.36363636363636365, 0.5555555555555556, 1.0, 0.9090909090909091, 0.36363636363636365, 0.4]","[0.7619047570068028, 0.3478260819659736, 0.47619047129251707, 0.999999995, 0.8695652124007562, 0.3478260819659736, 0.36363635867768596]","[0.6923076923076923, 0.5384615384615384, 0.5384615384615384, 1.0, 0.9230769230769231, 0.5384615384615384, 0.5384615384615384]","[0.9, 0.5833333333333334, 0.7, 1.0, 1.0, 0.5833333333333334, 0.6363636363636364]","[0.78260869073724, 0.559999995008, 0.6086956472589792, 0.999999995, 0.959999995008, 0.559999995008, 0.5833333283680556]","[0.8731871029605658, 0.6437241735537189, 0.6716861501882306, 0.9997724169321802, 0.9894398530762167, 0.6800326497296194, 0.6696428571428572]","[9.594503055152632e-232, 9.594503055152632e-232, 1.1409851298103347e-231, 1.1409851298103347e-231, 1.1409851298103347e-231, 1.1409851298103347e-231, 1.1409851298103347e-231]","[0.5994801804355883, 0.4596019126132318, 0.4928003516384928, 1.0, 0.9043439700730521, 0.6626868988442722, 0.6795071927970633]",0.561961888021684,0.9626524936800617,0.96076571244116,0.9528348525406248,0.9587510195539489
12,2.0,6.0,6.0,-4.472661018371582,-4.008101940155029,"[0.7126581072807312, 0.7821424007415771, 0.7407408952713013, 0.758037805557251]","[0.5986655950546265, 0.6955746412277222, 0.6418848633766174, 0.7156375646591187]","[0.6507072448730469, 0.7363228797912598, 0.6877788305282593, 0.7362277507781982]","[0.5555555555555556, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444]","[0.2777777777777778, 0.3333333333333333, 0.25, 0.3333333333333333]","[0.370370365925926, 0.38095237605442184, 0.319999995392, 0.38095237605442184]","[0.125, 0.0, 0.0, 0.0]","[0.05555555555555555, 0.0, 0.0, 0.0]","[0.07692307266272212, 0.0, 0.0, 0.0]","[0.4444444444444444, 0.3333333333333333, 0.4444444444444444, 0.4444444444444444]","[0.2222222222222222, 0.25, 0.25, 0.3333333333333333]","[0.2962962918518519, 0.2857142808163266, 0.319999995392, 0.38095237605442184]","[0.20666666666666667, 0.17094017094017094, 0.13071895424836602, 0.17094017094017094]","[1.2508498911928379e-231, 1.2508498911928379e-231, 1.2508498911928379e-231, 1.2508498911928379e-231]","[0.2466155727797955, 0.36765530296339344, 0.22940052930566812, 0.3602330062262843]",0.7185883957983962,0.9338125473067832,0.9479608109696598,0.9481672857220795,0.9433135479995075
13,5.0,5.5,6.0,-3.015299797058105,-2.915283203125,[0.7509006857872009],[0.8183321952819824],[0.7831676006317139],[0.7142857142857143],[0.8333333333333334],[0.7692307642603551],[0.42857142857142855],[0.6],[0.499999995138889],[0.5714285714285714],[0.6666666666666666],[0.6153846104142012],[0.6660997732426304],[1.2387197655613557e-231],[0.5920750297284303],0.9117834588653276,0.9801033136705932,0.9846808398047138,0.27717140343986957,0.7473185189717255
14,6.0,4.5,4.5,-4.530550479888916,-3.7862508296966553,[0.6843011379241943],[0.6339750289916992],[0.6581774950027466],[0.45454545454545453],[0.35714285714285715],[0.399999995072],[0.3],[0.21428571428571427],[0.24999999513888896],[0.45454545454545453],[0.35714285714285715],[0.399999995072],[0.5853699504493155],[0],[0.48233280233283904],0.1550529149278979,0.9616105137847303,0.9630837432890381,0.0009117963157064512,0.6418686844631583
15,5.5,6.0,5.0,-2.1810202598571777,-2.119924545288086,[0.7970058917999268],[0.8156991600990295],[0.8062441945075989],[0.75],[0.8571428571428571],[0.7999999950222222],[0.42857142857142855],[0.42857142857142855],[0.4285714235714286],[0.5],[0.5714285714285714],[0.5333333283555556],[0.9561042524005487],[1.1193096620723278e-231],[0.6583174766842781],0.9046946628942972,0.9732083976495,0.9766334982847726,0.44122240453898504,0.797021433491086
16,6.0,6.0,6.0,-2.0970168113708496,-1.6417598724365234,"[0.8428843021392822, 0.8901811242103577, 0.8934562802314758, 0.9999997615814209, 0.9186317920684814, 0.9084440469741821]","[0.8861412405967712, 0.9061293601989746, 0.9696033596992493, 0.9999997615814209, 0.9282183647155762, 0.9140536189079285]","[0.8639716506004333, 0.8980844616889954, 0.9299736618995667, 0.9999997615814209, 0.9234001636505127, 0.9112402200698853]","[0.8, 0.7, 0.9, 1.0, 0.8, 0.8]","[0.8, 0.7, 1.0, 1.0, 0.7272727272727273, 0.6666666666666666]","[0.7999999950000002, 0.699999995, 0.9473684160664821, 0.999999995, 0.7619047569160999, 0.7272727223140496]","[0.5555555555555556, 0.4444444444444444, 0.7777777777777778, 1.0, 0.5555555555555556, 0.5555555555555556]","[0.5555555555555556, 0.4444444444444444, 0.875, 1.0, 0.5, 0.45454545454545453]","[0.5555555505555557, 0.44444443944444445, 0.823529406782007, 0.999999995, 0.5263157844875347, 0.4999999950500001]","[0.8, 0.7, 0.9, 1.0, 0.7, 0.7]","[0.8, 0.7, 1.0, 1.0, 0.6363636363636364, 0.5833333333333334]","[0.7999999950000002, 0.699999995, 0.9473684160664821, 0.999999995, 0.6666666616780046, 0.6363636314049588]","[0.7711943069306932, 0.8030303030303031, 0.9728931830381106, 0.9996243425995492, 0.8289915966386556, 0.742296918767507]","[0, 1.0003688322288243e-231, 0, 1.0003688322288243e-231, 1.0003688322288243e-231, 0]","[0.792619684493916, 0.7945059177009866, 0.856666863585889, 1.0, 0.8223149894706756, 0.7457557674101091]",0.9327674027437656,0.9804294112968523,0.9816680625044506,0.9328571212290454,0.9649848650101162
17,5.5,5.5,5.5,-1.9178953170776367,-2.3553452491760254,"[0.7472271919250488, 0.7741543650627136, 0.8023911118507385]","[0.780501127243042, 0.8191123008728027, 0.8222692012786865]","[0.7635018229484558, 0.7959990501403809, 0.8122085928916931]","[0.5454545454545454, 0.45454545454545453, 0.5454545454545454]","[0.75, 0.7142857142857143, 0.6666666666666666]","[0.6315789424930748, 0.5555555508024692, 0.5999999950500001]","[0.4, 0.3, 0.4]","[0.5714285714285714, 0.5, 0.5]","[0.470588230449827, 0.3749999953125, 0.4444444395061729]","[0.36363636363636365, 0.2727272727272727, 0.36363636363636365]","[0.5, 0.42857142857142855, 0.4444444444444444]","[0.42105262670360116, 0.3333333285802469, 0.39999999505]","[0.701058201058201, 0.8005344995140914, 0.6592637054821929]","[9.788429383461836e-232, 1.1640469867513693e-231, 1.1640469867513693e-231]","[0.5385400823089327, 0.5494103119011775, 0.5833507383887402]",0.9328548212819242,0.9772260343943256,0.981879818825681,0.9237799083584426,0.9609619205261497
18,5.5,4.0,4.0,-2.668693780899048,-2.5318703651428223,"[0.8713681697845459, 0.8224185705184937]","[0.8243352174758911, 0.7418553829193115]","[0.8471993803977966, 0.7800623774528503]","[0.7857142857142857, 0.8571428571428571]","[0.6470588235294118, 0.75]","[0.709677414401665, 0.7999999950222222]","[0.5333333333333333, 0.6]","[0.47058823529411764, 0.5294117647058824]","[0.49999999501953135, 0.5624999950195313]","[0.7142857142857143, 0.8571428571428571]","[0.5882352941176471, 0.75]","[0.645161285369407, 0.7999999950222222]","[0.7723404255319148, 0.783096926713948]","[1.0669733992029681e-231, 8.972141065609098e-232]","[0.6485561660452832, 0.6731904281550214]",0.233851643286852,0.9457785932252165,0.9561290374013824,0.0024248045243425212,0.6347774783836472
19,6.0,5.5,4.5,-2.2304515838623047,-1.976600289344788,"[0.869051992893219, 0.9159166812896729]","[0.9341153502464294, 0.9555237889289856]","[0.9004098773002625, 0.9353011250495911]","[0.7777777777777778, 0.7777777777777778]","[1.0, 1.0]","[0.8749999950781251, 0.8749999950781251]","[0.5, 0.5]","[0.6666666666666666, 0.6666666666666666]","[0.5714285665306124, 0.5714285665306124]","[0.7777777777777778, 0.7777777777777778]","[1.0, 1.0]","[0.8749999950781251, 0.8749999950781251]","[0.9211629857422421, 0.9498856707317073]","[1.0244914152188952e-231, 1.2183324802375697e-231]","[0.810543442909748, 0.8389946227324397]",0.963866950372042,0.9806968888958891,0.9828866558557665,0.004315228674597906,0.6559662578087512
20,6.0,5.5,5.0,-3.15950608253479,-2.4160258769989014,"[0.8651975393295288, 0.853226900100708, 0.8872939348220825]","[0.8842177391052246, 0.748420238494873, 0.8081201314926147]","[0.8746042251586914, 0.7973944544792175, 0.8458583354949951]","[0.8571428571428571, 0.8571428571428571, 0.8571428571428571]","[0.8571428571428571, 0.5, 0.6]","[0.8571428521428571, 0.6315789427146814, 0.7058823480968859]","[0.5, 0.5, 0.5]","[0.42857142857142855, 0.25, 0.3333333333333333]","[0.4615384565680473, 0.33333332888888895, 0.39999999520000007]","[0.8571428571428571, 0.8571428571428571, 0.8571428571428571]","[0.8571428571428571, 0.5, 0.6]","[0.8571428521428571, 0.6315789427146814, 0.7058823480968859]","[0.5388672322861731, 0.3579043557721597, 0.5931718481785236]","[1.0032743411283238e-231, 1.0032743411283238e-231, 1.0032743411283238e-231]","[0.7291936633678271, 0.4945858007385272, 0.5470310635219688]",0.9121247054355512,0.9800071851668726,0.9808795950652521,0.008163669683855205,0.6563501499719933
21,6.0,6.0,5.5,-2.551919460296631,-2.714890956878662,"[0.8187984228134155, 0.8900182247161865]","[0.8510544300079346, 0.9221327900886536]","[0.8346148729324341, 0.9057909846305847]","[0.6428571428571429, 0.7142857142857143]","[0.9, 0.8333333333333334]","[0.7499999951388889, 0.7692307642603551]","[0.3333333333333333, 0.3333333333333333]","[0.45454545454545453, 0.4166666666666667]","[0.3846153797337278, 0.37037036543209884]","[0.6428571428571429, 0.6428571428571429]","[0.9, 0.75]","[0.7499999951388889, 0.6923076873372783]","[0.7542864191439498, 0.8644018703190302]","[1.0669733992029681e-231, 1.0669733992029681e-231]","[0.7056895541757336, 0.8274086260515625]",0.8373395943754579,0.9775940566972018,0.9798003412456799,0.5986449784781426,0.8520131254736748
22,6.0,4.5,4.0,-1.6234707832336426,-1.300618290901184,[0.9185734987258911],[0.9350926876068115],[0.9267595410346985],[0.9166666666666666],[0.9166666666666666],[0.9166666616666667],[0.7272727272727273],[0.7272727272727273],[0.7272727222727273],[0.6666666666666666],[0.6666666666666666],[0.6666666616666668],[0.9059829059829061],[1.1409851298103347e-231],[0.8367770563604526],0.8442499581725427,0.9795612053616665,0.9816554793225407,0.8220505743572025,0.9277557530138032
