id,fluency,grammar,semantics,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
12,2.0,1.75,1.5,-2.9974818229675293,-3.004462718963623,"[0.6871086359024048, 0.7616806626319885, 0.7015573978424072]","[0.6936156749725342, 0.6797263622283936, 0.6591130495071411]","[0.6903468370437622, 0.7183736562728882, 0.6796731948852539]","[0.375, 0.625, 0.375]","[0.3333333333333333, 0.45454545454545453, 0.3]","[0.35294117148788934, 0.5263157845983379, 0.33333332839506175]","[0.25, 0.25, 0.25]","[0.25, 0.18181818181818182, 0.2222222222222222]","[0.24999999500000009, 0.21052631091412755, 0.23529411266435996]","[0.375, 0.625, 0.375]","[0.3333333333333333, 0.45454545454545453, 0.3]","[0.35294117148788934, 0.5263157845983379, 0.33333332839506175]","[0.3968750000000001, 0.45074722802506817, 0.4440366972477064]","[1.0244914152188952e-231, 1.0244914152188952e-231, 1.0244914152188952e-231]","[0.4061693380139575, 0.415363706443461, 0.4235899563455272]",0.5984244815293374,0.7622504301378137,0.8813123274325783,0.2568697871704287,0.6334775149136068
13,3.0,2.333333333333333,3.0,-2.855916738510132,-2.528496265411377,"[0.8108107447624207, 0.9028588533401489, 0.8604241609573364]","[0.8545123338699341, 0.8629176616668701, 0.8618540167808533]","[0.8320881724357605, 0.8824365139007568, 0.8611385226249695]","[0.6, 0.8, 0.7]","[0.6666666666666666, 0.7272727272727273, 0.7]","[0.6315789423822715, 0.7619047569160999, 0.699999995]","[0.4444444444444444, 0.5555555555555556, 0.4444444444444444]","[0.5, 0.45454545454545453, 0.4444444444444444]","[0.4705882303114187, 0.4999999950500001, 0.44444443944444445]","[0.6, 0.8, 0.6]","[0.6666666666666666, 0.7272727272727273, 0.6]","[0.6315789423822715, 0.7619047569160999, 0.5999999950000001]","[0.6849868660335421, 0.6722608024691359, 0.7080965909090909]","[1.0003688322288243e-231, 1.0003688322288243e-231, 1.0003688322288243e-231]","[0.7715225893553247, 0.90229854656499, 0.8269819201791084]",0.9518727915265432,0.9755255595032623,0.9786883136955697,0.5021923273074335,0.8188020668354219
14,3.0,3.0,3.0,-2.863961935043335,-2.454517126083374,"[0.9815053939819336, 0.8413852453231812, 0.9252550601959229]","[0.972419023513794, 0.7691906094551086, 0.8789792060852051]","[0.9769410490989685, 0.803669810295105, 0.9015237092971802]","[0.875, 0.625, 0.75]","[0.7777777777777778, 0.45454545454545453, 0.6]","[0.823529406782007, 0.5263157845983379, 0.6666666617283951]","[0.7142857142857143, 0.42857142857142855, 0.42857142857142855]","[0.625, 0.2727272727272727, 0.3333333333333333]","[0.6666666616888889, 0.3333333285802469, 0.37499999507812504]","[0.875, 0.625, 0.75]","[0.7777777777777778, 0.45454545454545453, 0.6]","[0.823529406782007, 0.5263157845983379, 0.6666666617283951]","[0.8017676767676769, 0.5037252996436669, 0.6944444444444444]","[1.0518351895246305e-231, 1.0518351895246305e-231, 1.0518351895246305e-231]","[0.9112904276415221, 0.715851419874537, 0.7885231587401071]",0.954734774367174,0.982692559762421,0.9825923432329191,0.7153518366412706,0.8935455798788702
15,1.8,1.6,2.2,-2.785239696502685,-3.9115476608276367,"[0.8610357642173767, 0.8009380102157593, 0.858406662940979]","[0.7470336556434631, 0.6408442854881287, 0.6955723166465759]","[0.7999936938285828, 0.7120028138160706, 0.7684581875801086]","[0.8333333333333334, 1.0, 0.8333333333333334]","[0.5555555555555556, 0.5454545454545454, 0.5]","[0.6666666618666668, 0.7058823483737025, 0.6249999953125001]","[0.6, 0.6, 0.6]","[0.375, 0.2727272727272727, 0.3333333333333333]","[0.4615384568047337, 0.374999995703125, 0.4285714239795918]","[0.8333333333333334, 0.8333333333333334, 0.8333333333333334]","[0.5555555555555556, 0.45454545454545453, 0.5]","[0.6666666618666668, 0.5882352895501731, 0.6249999953125001]","[0.5041666666666667, 0.4573170731707317, 0.46095238095238095]","[0, 0, 0]","[0.5949753214494564, 0.49452328031334714, 0.5317009587984902]",0.800911258924286,0.8605733792940541,0.8738596698852296,0.0013632552153342045,0.5785987681315393
16,3.0,3.0,3.0,-2.5786778926849365,-2.264847993850708,"[1.0, 0.8359749913215637, 0.9086169600486755]","[1.0, 0.7636291980743408, 0.8708227276802063]","[1.0, 0.7981661558151245, 0.8893185257911682]","[1.0, 0.5555555555555556, 0.6666666666666666]","[1.0, 0.45454545454545453, 0.6]","[0.999999995, 0.4999999950500001, 0.6315789423822715]","[1.0, 0.375, 0.375]","[1.0, 0.2727272727272727, 0.3333333333333333]","[0.999999995, 0.3157894688088643, 0.35294117148788934]","[1.0, 0.5555555555555556, 0.6666666666666666]","[1.0, 0.45454545454545453, 0.6]","[0.999999995, 0.4999999950500001, 0.6315789423822715]","[0.9995, 0.4429133858267717, 0.616925669350309]","[1.0244914152188952e-231, 1.0244914152188952e-231, 1.0244914152188952e-231]","[1.0, 0.735481030834793, 0.8295331110106056]",0.9447634519342304,0.9818159104704629,0.9824657591993787,0.8105571598247392,0.9249462764981935
17,3.0,3.0,3.0,-3.244450330734253,-3.14427137374878,"[0.7749015688896179, 0.8497670292854309, 0.8113206028938293]","[0.8289211988449097, 0.8307122588157654, 0.8221970796585083]","[0.8010016679763794, 0.8401315808296204, 0.8167226314544678]","[0.45454545454545453, 0.6363636363636364, 0.5454545454545454]","[0.5555555555555556, 0.6363636363636364, 0.6]","[0.4999999950500001, 0.6363636313636364, 0.5714285664399092]","[0.18181818181818182, 0.2727272727272727, 0.09090909090909091]","[0.25, 0.2727272727272727, 0.1111111111111111]","[0.21052631091412755, 0.2727272677272728, 0.09999999505000023]","[0.45454545454545453, 0.6363636363636364, 0.45454545454545453]","[0.5555555555555556, 0.6363636363636364, 0.5]","[0.4999999950500001, 0.6363636313636364, 0.47619047120181407]","[0.5461165048543689, 0.5402644230769231, 0.5111151603498542]","[9.594503055152632e-232, 9.594503055152632e-232, 9.594503055152632e-232]","[0.6827163222947286, 0.7692495536811799, 0.6782109149525897]",0.9365696767968912,0.9708780078719428,0.9764446687301089,0.3930201967471241,0.780114291116392
18,1.6666666666666667,1.6666666666666667,1.0,-6.644809246063232,-6.546696186065674,"[0.635811448097229, 0.6410084962844849, 0.6918516159057617]","[0.5790421366691589, 0.582866907119751, 0.5949218273162842]","[0.6061004400253296, 0.6105566620826721, 0.639735996723175]","[0.2727272727272727, 0.2727272727272727, 0.45454545454545453]","[0.2727272727272727, 0.3333333333333333, 0.5555555555555556]","[0.2727272677272728, 0.2999999950500001, 0.4999999950500001]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.2727272727272727, 0.2727272727272727, 0.45454545454545453]","[0.2727272727272727, 0.3333333333333333, 0.5555555555555556]","[0.2727272677272728, 0.2999999950500001, 0.4999999950500001]","[0.11718749999999999, 0.23232323232323232, 0.3381818181818182]","[1.0003688322288243e-231, 1.0003688322288243e-231, 1.0003688322288243e-231]","[0.13652078851949745, 0.16311945333357158, 0.22607002439399104]",0.5515796164971749,0.6425092998784971,0.7307235765425578,0.0856881291747322,0.48630700186526243
19,2.333333333333333,2.6666666666666665,1.0,-5.466730117797852,-5.271947383880615,"[0.4715980589389801, 0.46976709365844727, 0.4807524085044861]","[0.3711075782775879, 0.35520029067993164, 0.3382762670516968]","[0.415361225605011, 0.40452852845191956, 0.39712193608283997]","[0.0, 0.0, 0.2857142857142857]","[0.0, 0.0, 0.2222222222222222]","[0.0, 0.0, 0.24999999507812506]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.2857142857142857]","[0.0, 0.0, 0.2222222222222222]","[0.0, 0.0, 0.24999999507812506]","[0.03937007874015748, 0.045871559633027525, 0.13761467889908252]","[1.0244914152188952e-231, 1.0244914152188952e-231, 1.0244914152188952e-231]","[-0.20030411154993466, -0.20773966299219948, -0.1949099955235829]",0.1233920335967737,0.3848413367833524,0.5879676419001826,0.7742404509969453,0.5823498098934934
20,2.333333333333333,2.333333333333333,2.0,-3.0647456645965576,-2.6472620964050293,"[0.8114926815032959, 0.7958820462226868, 0.7835111021995544]","[0.6335426568984985, 0.6359421014785767, 0.6183080673217773]","[0.7115607261657715, 0.7069791555404663, 0.6911750435829163]","[0.8, 0.8, 1.0]","[0.36363636363636365, 0.4444444444444444, 0.5555555555555556]","[0.49999999570312514, 0.5714285668367348, 0.7142857096938776]","[0.5, 0.5, 1.0]","[0.2, 0.25, 0.5]","[0.2857142816326531, 0.33333332888888895, 0.6666666622222223]","[0.8, 0.8, 1.0]","[0.36363636363636365, 0.4444444444444444, 0.5555555555555556]","[0.49999999570312514, 0.5714285668367348, 0.7142857096938776]","[0.20947176684881602, 0.24572649572649571, 0.3605769230769231]","[9.97486269044271e-232, 9.97486269044271e-232, 9.97486269044271e-232]","[0.46184009750386446, 0.4466159864434218, 0.44924296359770877]",0.8537898135867852,0.9211659400139438,0.9402338793963914,0.004497541094727681,0.6219657868350209
21,3.0,3.0,3.0,-2.860417366027832,-2.693094491958618,"[0.9186007976531982, 0.8663343787193298, 0.9412628412246704]","[0.9314237236976624, 0.9048846364021301, 0.9719902276992798]","[0.9249678254127502, 0.8851900100708008, 0.956379771232605]","[0.8181818181818182, 0.6363636363636364, 0.8181818181818182]","[0.8181818181818182, 0.7777777777777778, 1.0]","[0.8181818131818183, 0.6999999950500001, 0.8999999950500001]","[0.6, 0.3, 0.7]","[0.6, 0.375, 0.875]","[0.5999999950000001, 0.33333332839506175, 0.7777777728395062]","[0.6363636363636364, 0.45454545454545453, 0.8181818181818182]","[0.6363636363636364, 0.5555555555555556, 1.0]","[0.6363636313636364, 0.4999999950500001, 0.8999999950500001]","[0.8375715193897013, 0.7346781305114639, 0.9721812278630461]","[1.3568676344828118e-231, 1.1409851298103347e-231, 1.1409851298103347e-231]","[0.8412901121428125, 0.802674374299259, 0.9511421192294873]",0.5327450786220335,0.9860727255936341,0.6870511277626803,0.2506345391852364,0.6412527975138503
22,2.2,2.2,1.2,-3.771458864212036,-2.9706966876983643,"[0.8278681635856628, 0.7665613889694214, 0.8223633766174316]","[0.7696627378463745, 0.724137008190155, 0.7578336000442505]","[0.7977051138877869, 0.7447455525398254, 0.788780927658081]","[0.7272727272727273, 0.5454545454545454, 0.7272727272727273]","[0.7272727272727273, 0.6666666666666666, 0.8888888888888888]","[0.7272727222727273, 0.5999999950500001, 0.79999999505]","[0.5, 0.2, 0.5]","[0.5, 0.25, 0.625]","[0.4999999950000001, 0.22222221728395072, 0.555555550617284]","[0.6363636363636364, 0.45454545454545453, 0.7272727272727273]","[0.6363636363636364, 0.5555555555555556, 0.8888888888888888]","[0.6363636313636364, 0.4999999950500001, 0.79999999505]","[0.5253507653061225, 0.3381818181818182, 0.5769944341372912]","[1.3165594234639305e-231, 1.0003688322288243e-231, 1.0003688322288243e-231]","[0.5678592183764365, 0.5288169042497584, 0.6217502844697671]",0.4701364648073683,0.8391941488390344,0.8537409125605318,0.020300563506399215,0.5710785416353218
24,1.75,1.75,3.0,-2.382158041000366,-1.7938295602798462,"[0.8459749817848206, 0.779978334903717, 0.7706371545791626]","[0.793587327003479, 0.769940197467804, 0.7530403137207031]","[0.8189441561698914, 0.7749267220497131, 0.7617371082305908]","[1.0, 0.75, 0.75]","[0.7272727272727273, 0.6666666666666666, 0.6666666666666666]","[0.8421052582825486, 0.7058823479584776, 0.7058823479584776]","[0.7142857142857143, 0.2857142857142857, 0.2857142857142857]","[0.5, 0.25, 0.25]","[0.5882352892733564, 0.266666661688889, 0.266666661688889]","[1.0, 0.75, 0.625]","[0.7272727272727273, 0.6666666666666666, 0.5555555555555556]","[0.8421052582825486, 0.7058823479584776, 0.5882352891349482]","[0.45362903225806456, 0.2977594339622642, 0.2977594339622642]","[1.331960397810445e-231, 0, 0]","[0.6498568225641022, 0.6194994378541919, 0.606534432935168]",0.9538826228031292,0.978040738201891,0.9777762348411733,0.01569548614857696,0.6571708197305471
25,2.6666666666666665,3.0,3.0,-3.873217821121216,-4.397672176361084,"[0.8035348057746887, 0.8109529614448547, 0.8876764178276062]","[0.7786514759063721, 0.8036216497421265, 0.8592147827148438]","[0.7908975481987, 0.8072706460952759, 0.8732137680053711]","[0.4444444444444444, 0.4444444444444444, 0.6666666666666666]","[0.36363636363636365, 0.4444444444444444, 0.6666666666666666]","[0.39999999505, 0.44444443944444445, 0.6666666616666668]","[0.25, 0.25, 0.625]","[0.2, 0.25, 0.625]","[0.22222221728395072, 0.24999999500000009, 0.624999995]","[0.2222222222222222, 0.2222222222222222, 0.6666666666666666]","[0.18181818181818182, 0.2222222222222222, 0.6666666666666666]","[0.1999999950500001, 0.22222221722222232, 0.6666666616666668]","[0.353968253968254, 0.41296296296296303, 0.6405895691609977]","[1.0518351895246305e-231, 1.0518351895246305e-231, 1.0518351895246305e-231]","[0.5764654400704199, 0.6042411758517726, 0.7449320732343585]",0.7545411343754206,0.8229459032105219,0.791005560532899,0.756464967356528,0.7901388103666497
27,1.6666666666666667,1.6666666666666667,1.3333333333333333,-3.809933423995972,-3.973865509033203,"[0.5471187233924866, 0.5481305122375488, 0.5385457277297974]","[0.6306092739105225, 0.5875956416130066, 0.6417785882949829]","[0.5859046578407288, 0.5671773552894592, 0.585647702217102]","[0.5384615384615384, 0.46153846153846156, 0.5]","[0.5384615384615384, 0.46153846153846156, 0.5652173913043478]","[0.5384615334615386, 0.4615384565384616, 0.5306122399167015]","[0.19444444444444445, 0.16666666666666666, 0.16666666666666666]","[0.25, 0.20689655172413793, 0.2608695652173913]","[0.21874999507812512, 0.1846153796733729, 0.20338982575122103]","[0.5384615384615384, 0.34615384615384615, 0.38461538461538464]","[0.5384615384615384, 0.34615384615384615, 0.43478260869565216]","[0.5384615334615386, 0.3461538411538462, 0.40816326032486466]","[0.4705710830767647, 0.414621448757995, 0.4747828035149735]","[9.309480961664223e-232, 9.309480961664223e-232, 9.309480961664223e-232]","[0.06469569238933293, 0.07398741987771085, 0.028771242879358394]",0.2158481173698047,0.02083054777132815,0.45482164753211785,0.09260951912017816,0.1894205714745414
28,1.3333333333333333,1.6666666666666667,1.0,-4.840070724487305,-5.152180194854736,"[0.4705812931060791, 0.4545181393623352, 0.45872941613197327]","[0.455338716506958, 0.4390019476413727, 0.4570173919200897]","[0.46283453702926636, 0.446625292301178, 0.45787182450294495]","[0.2727272727272727, 0.18181818181818182, 0.2727272727272727]","[0.11538461538461539, 0.07692307692307693, 0.13043478260869565]","[0.16216215798392997, 0.10810810392987599, 0.17647058385813158]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.2727272727272727, 0.18181818181818182, 0.2727272727272727]","[0.11538461538461539, 0.07692307692307693, 0.13043478260869565]","[0.16216215798392997, 0.10810810392987599, 0.17647058385813158]","[0.06688963210702341, 0.06493506493506494, 0.07874015748031496]","[8.614911585158347e-232, 8.614911585158347e-232, 8.614911585158347e-232]","[-0.1569020836650774, -0.13071516047189657, -0.15006097947221164]",0.0125741275245183,0.008436108002083746,0.0231822994572124,0.0038968081251985567,0.011838405194831566
29,2.0,2.6666666666666665,1.3333333333333333,-2.706555128097534,-2.891903877258301,"[0.6706003546714783, 0.6409629583358765, 0.6463263034820557]","[0.6320452690124512, 0.5939924716949463, 0.6425930261611938]","[0.6507522463798523, 0.6165844798088074, 0.6444542407989502]","[0.7222222222222222, 0.6666666666666666, 0.7222222222222222]","[0.5, 0.46153846153846156, 0.5652173913043478]","[0.5909090860743802, 0.5454545406198348, 0.6341463365377752]","[0.42857142857142855, 0.38095238095238093, 0.38095238095238093]","[0.32142857142857145, 0.27586206896551724, 0.34782608695652173]","[0.3673469338775511, 0.31999999512800004, 0.36363635864669425]","[0.5555555555555556, 0.5, 0.3333333333333333]","[0.38461538461538464, 0.34615384615384615, 0.2608695652173913]","[0.4545454497107439, 0.4090909042561984, 0.2926829219036289]","[0.46206825657894735, 0.4082357117500887, 0.5166023166023165]","[9.689041594391036e-232, 9.689041594391036e-232, 9.689041594391036e-232]","[0.23108588695317533, 0.2518144044656889, 0.2857487174408899]",0.4703791584670069,0.9452470408812388,0.9493653397898107,0.1492227944839256,0.681278391718325
