id,src,sys,refs,ref,informativeness,naturalness,quality
10,confirm(price_range=cheap),So you want a cheap place to eat ?,"['Can I confirm that the restaurant must be cheap ?', 'To confirm , you are looking for a restaurant in the cheap price range ?', 'Can I confirm that you want a cheap restaurant ?', 'Do you want it to be in the cheap price range ?', 'Are you sure you wanted the restaurant to be cheap ?', 'Can I confirm you are looking for a cheap restaurant ?', 'Do you want a cheap restaurant ?', 'So you want a cheap place to eat ?', 'You want a cheap restaurant , right ?', 'So you want somewhere cheap to eat ?', 'It is a cheap restaurant', 'Are you certain that you want to look for restaurant -s serving cheap food ?']",Can I confirm that the restaurant must be cheap ?,4.5,5.0,3.5
11,confirm(price_range=dont_care),Can I confirm that you do not care about the price range ?,"['So you do not care about the price range ?', 'You do not care what the price range is , right ?', 'May I confirm that you want any price range ?', 'Can I confirm that you do not care about the price range ?', 'Can I confirm you do not care about the price range ?', 'Can I confirm that the price does not matter to you ?', 'May I confirm that the price range does not matter ?']",So you do not care about the price range ?,5.0,4.0,4.0
12,confirm(price_range=expensive),So you want a expensive place to eat ?,"['Are you sure that you want to look for restaurant -s serving food in the expensive price range ?', 'Can I confirm you would like to find an expensive restaurant ?', 'Can I confirm that you are looking for a restaurant in the expensive price range ?', 'Are you looking for a restaurant in the expensive price range ?']",Are you sure that you want to look for restaurant -s serving food in the expensive price range ?,2.0,6.0,6.0
13,"inform(name='a 16',food=pizza)",There is a pizza restaurant called a 16 .,['A 16 is a pizza restaurant .'],A 16 is a pizza restaurant .,5.0,5.5,6.0
14,"inform(name='a 16',price_range=moderate,kids_allowed=no)","A 16 , is moderately prices and does not allow children .",['The restaurant a 16 has a moderate price range and does not allow kid -s'],The restaurant a 16 has a moderate price range and does not allow kid -s,6.0,4.5,4.5
15,"inform(name='a 16',type=restaurant)",The name of the restaurant is a 16 .,['A 16 is the name of the restaurant .'],A 16 is the name of the restaurant .,5.5,6.0,5.0
16,"inform(name='alamo square seafood grill',address='803 fillmore street')",Alamo square seafood grill 's address is 803 fillmore street .,"['Alamo square seafood grill is located on 803 fillmore street', 'The alamo square seafood grill is at 803 fillmore street .', 'Alamo square seafood grill address is 803 fillmore street', ""Alamo square seafood grill 's address is 803 fillmore street ."", 'The address for alamo square seafood grill is 803 fillmore street .', 'The address for the alamo square seafood grill is 803 fillmore street']",Alamo square seafood grill is located on 803 fillmore street,6.0,6.0,6.0
17,"inform(name='alamo square seafood grill',food='sea food')",There is a sea food restaurant called alamo square seafood grill .,"['The alamo square seafood grill servers sea food', 'Alamo square seafood grill serves sea food .', 'The alamo square seafood grill specializes in sea food .']",The alamo square seafood grill servers sea food,5.5,5.5,5.5
18,"inform(name='alamo square seafood grill',near='alamo square',kids_allowed=no,good_for_meal=dinner)","Alamo square seafood grill , is near alamo square , does not allow kids for dinner .","['Alamo square seafood grill is near alamo square , good for dinner and child -s are not allowed .', 'Alamo square seafood grill is near alamo square does not allow kid -s and is good for dinner .']","Alamo square seafood grill is near alamo square , good for dinner and child -s are not allowed .",5.5,4.0,4.0
19,"inform(name='a la turca restaurant',near=tenderloin)","A la turca restaurant , is near the tenderloin .","['A la turca restaurant is near tenderloin', 'A la turca restaurant is near tenderloin .']",A la turca restaurant is near tenderloin,6.0,5.5,4.5
20,"inform(name='a la turca restaurant',price_range=cheap)","A la turca restaurant , is cheap .","['A la turca restaurant is a cheap restaurant .', 'A la turca restaurant is a good restaurant in the cheap price range .', 'A la turca restaurant is in the cheap price range .']",A la turca restaurant is a cheap restaurant .,6.0,5.5,5.0
21,"inform(name='alborz persian cuisine',food=persian,good_for_meal=dinner)","Alborz persian cuisine , is a good restaurant that serves persian food , especially for dinner .","['Alborz persian cuisine is a persian restaurant that is suitable for dinner .', 'Alborz persian cuisine is a nice restaurant serving persian food good for dinner .']",Alborz persian cuisine is a persian restaurant that is suitable for dinner .,6.0,6.0,5.5
22,"inform(name='alborz persian cuisine',price='between 9 and 13 dollar')",The price is between 9 and 13 dollar at alborz persian cuisine .,['The price of alborz persian cuisine is between 9 and 13 dollar .'],The price of alborz persian cuisine is between 9 and 13 dollar .,6.0,4.5,4.0
23,"inform(name='alborz persian cuisine',price_range=moderate)","Alborz persian cuisine , is moderate .","['There is a nice restaurant called alborz persian cuisine which feature moderate -ly priced food .', 'Alborz persian cuisine has a moderate price range .', 'Alborz persian cuisine is a moderate -ly priced restaurant .', 'There is a nice restaurant nearby called alborz persian cuisine . It has persian cuisine and is in the moderate price range .']",There is a nice restaurant called alborz persian cuisine which feature moderate -ly priced food .,5.0,3.5,4.5
24,"inform(name='alborz persian cuisine',price_range=moderate,food=persian)",Alborz persian cuisine serves persian food at a moderate price range .,['Alborz persian cuisine serving good persian food is a moderate priced restaurant .'],Alborz persian cuisine serving good persian food is a moderate priced restaurant .,6.0,6.0,6.0
25,"inform(name='alborz persian cuisine',type=restaurant)",The name of the restaurant is alborz persian cuisine .,"['There is a nice restaurant called alborz persian cuisine .', 'Alborz persian cuisine is a nice restaurant .', 'Alborz persian cuisine is good restaurant .']",There is a nice restaurant called alborz persian cuisine .,5.0,6.0,5.5
26,"inform(name='amber india',food=indian)",There is a indian restaurant called amber india .,"['Amber india restaurant serves indian food .', 'Amber india is a nice restaurant that serves indian food .']",Amber india restaurant serves indian food .,5.5,6.0,5.5
27,"inform(name='amber india',kids_allowed=no,food=indpak)","Amber india , is a nice restaurant that serves indpak food and does not allow children .",['Amber india serves indpak food and kid -s are not allowed .'],Amber india serves indpak food and kid -s are not allowed .,6.0,6.0,6.0
28,"inform(name='amber india',phone='4157770500',postcode='94103')","The phone number for amber india is 4157770500 , and the postcode is 94103 .","[""Amber india 's phone number is 4157770500. their postcode is 94103 .""]",Amber india 's phone number is 4157770500. their postcode is 94103 .,6.0,6.0,5.0
29,"inform(name='ananda fuara',food=vegetarian)",There is a vegetarian restaurant called ananda fuara .,"['There is another restaurant called ananda fuara , which serves vegetarian food .', 'Ananda fuara is the restaurant serves vegetarian .', 'There is a vegetarian restaurant nearby called ananda fuara .', 'The restaurant ananda fuara is a vegetarian restaurant .', 'Ananda fuara is a good vegetarian restaurant .', 'Ananda fuara serves vegetarian food', 'The restaurant ananda fuara serves vegetarian food .', 'Ananda fuara serves vegetarian food .']","There is another restaurant called ananda fuara , which serves vegetarian food .",6.0,6.0,6.0
30,"inform(name='angkor borei restaurant',area='hayes valley or bernal heights',phone='4155508417')","Angkor borei restaurant , is in the hayes valley or bernal heights call 4155508417 .","['The angkor borei restaurant is located in the hayes valley or bernal heights area . Their phone number is 4155508417 .', 'The phone number for angkor borei restaurant is 4155508417 and is located in hayes valley or bernal heights .', 'The name is angkor borei restaurant , the area is hayes valley or bernal heights , and the phone number is 4155508417', 'Angkor borei restaurant is in hayes valley or bernal heights . The phone number is 4155508417']",The angkor borei restaurant is located in the hayes valley or bernal heights area . Their phone number is 4155508417 .,5.0,6.0,5.0
31,"inform(name='angkor borei restaurant',good_for_meal=dinner,area='bernal heights',price_range=cheap)","Angkor borei restaurant , is good dinner choice for your cheap range in bernal heights .","['I would suggest angkor borei restaurant as a good restaurant for dinner in bernal heights for cheap food .', 'Angkor borei restaurant is good dinner choice for your cheap range in bernal heights .', 'Angkor borei restaurant is a cheap restaurant in bernal heights and is open for dinner']",I would suggest angkor borei restaurant as a good restaurant for dinner in bernal heights for cheap food .,6.0,6.0,6.0
32,"inform(name='angkor borei restaurant',good_for_meal=dinner,near='bernal heights',price_range=cheap)","Angkor borei restaurant , is near bernal heights , the is good for dinner , and it is in the cheap price range .",['The angkor borei restaurant offers cheap dinner -s near to bernal heights .'],The angkor borei restaurant offers cheap dinner -s near to bernal heights .,5.0,2.5,1.5
33,"inform(name='angkor borei restaurant',type=restaurant)",The name of the restaurant is angkor borei restaurant .,"['Angkor borei restaurant is a nice restaurant .', 'I would recommend angkor borei restaurant , a nice restaurant', 'Angkor borei restaurant would fit you .', 'Angkor borei restaurant is a nice restaurant', 'The angkor borei restaurant is a nice restaurant .']",Angkor borei restaurant is a nice restaurant .,5.5,5.5,5.5
34,"inform(name='aperto restaurant',kids_allowed=yes)",Aperto restaurant allows children .,['Aperto restaurant does allow kid -s .'],Aperto restaurant does allow kid -s .,5.0,5.5,6.0
35,"inform(name='aperto restaurant',kids_allowed=yes,price_range=moderate,near='potrero hill')","Aperto restaurant , is near potrero hill , , is moderate range and allows children .","['Aperto restaurant is a moderate -ly priced restaurant that allows kid -s near the potrero hill area .', 'The aperto restaurant is moderate -ly priced , is near potrero hill , and allows kid -s .']",Aperto restaurant is a moderate -ly priced restaurant that allows kid -s near the potrero hill area .,5.0,5.0,3.0
36,"inform(name='aperto restaurant',near='potrero hill')","Aperto restaurant , is near the potrero hill .","['Aperto restaurant is near potrero hill .', 'Do you want to try aperto restaurant near potrero hill ?']",Aperto restaurant is near potrero hill .,6.0,5.5,5.0
37,"inform(name='aperto restaurant',near='potrero hill',price_range=moderate)",Aperto restaurant near potrero hill offers moderate food .,['Aperto restaurant is near potrero hill and is moderate -ly priced .'],Aperto restaurant is near potrero hill and is moderate -ly priced .,5.0,3.5,4.0
38,"inform(name='aperto restaurant',price='22 euro',phone='4152521625')",Aperto restaurant 's prices range 22 euro their phone number is 4152521625 .,['The phone number for aperto restaurant is 4152521625. the price is 22 euro .'],The phone number for aperto restaurant is 4152521625. the price is 22 euro .,5.5,5.0,4.5
39,"inform(name='aperto restaurant',price_range=moderate)","Aperto restaurant , is moderate .",['The aperto restaurant has a moderate price range .'],The aperto restaurant has a moderate price range .,3.0,3.0,2.5
40,"inform(name='aperto restaurant',type=restaurant)",The name of the restaurant is aperto restaurant .,"['The restaurant is named aperto restaurant .', 'The aperto restaurant is a nice restaurant .']",The restaurant is named aperto restaurant .,5.5,4.5,5.5
41,"inform(name='arabian nights restaurant',address='2345 mission street')",Arabian nights restaurant 's address is 2345 mission street .,"[""Arabian nights restaurant 's address is 2345 mission street"", 'The address to the arabian nights restaurant is 2345 mission street .', 'The arabian nights restaurant is at 2345 mission street .']",Arabian nights restaurant 's address is 2345 mission street,6.0,5.5,5.0
42,"inform(name='arabian nights restaurant',address='2345 mission street',phone='4156481444')","Arabian nights restaurant 's address is 2345 mission street , and its phone number is 4156481444 .",['Arabian nights restaurant is located at 2345 mission street and can be reached by phone at 4156481444 .'],Arabian nights restaurant is located at 2345 mission street and can be reached by phone at 4156481444 .,6.0,6.0,6.0
43,"inform(name='arabian nights restaurant',area='hayes valley or noma')","Arabian nights restaurant , is in the are of hayes valley or noma .","['Arabian nights restaurant is located in hayes valley or noma .', 'Arabian nights restaurant is in the hayes valley or noma area .', 'Arabian nights restaurant is in hayes valley or noma .', 'Arabian nights restaurant is in the hayes valley or noma', 'The arabian nights restaurant is in hayes valley or noma .']",Arabian nights restaurant is located in hayes valley or noma .,1.0,1.0,1.0
44,"inform(name='arabian nights restaurant',area='hayes valley or noma',address='2345 mission street',phone='4156481444')","Arabian nights restaurant has 2 locations in hayes valley or noma , the address is 2345 mission street , and the phone number is 4156481444 .","['Arabian nights restaurant is in hayes valley or noma at 2345 mission street , you can call at 4156481444 .']","Arabian nights restaurant is in hayes valley or noma at 2345 mission street , you can call at 4156481444 .",6.0,5.5,5.5
45,"inform(name='arabian nights restaurant',food=arabian)",There is a arabian restaurant called arabian nights restaurant .,"['Arabian nights restaurant serves arabian', 'Arabian nights restaurant serves arabian food']",Arabian nights restaurant serves arabian,4.5,5.5,5.0
46,"inform(name='arabian nights restaurant',food=arabian,good_for_meal=dinner)","Arabian nights restaurant , is a good restaurant that serves arabian food , especially for dinner .",['Arabian nights restaurant serves arabian and is good for dinner .'],Arabian nights restaurant serves arabian and is good for dinner .,6.0,4.5,4.5
47,"inform(name='arabian nights restaurant',food=lebanese)",There is a lebanese restaurant called arabian nights restaurant .,"['I have found the arabian nights restaurant , which serves lebanese food .', 'Arabian nights restaurant is a nice restaurant that serves lebanese food .', 'There is a lebanese restaurant that is called arabian nights restaurant .', 'Arabian nights restaurant serves lebanese food .']","I have found the arabian nights restaurant , which serves lebanese food .",6.0,5.5,5.0
48,"inform(name='arabian nights restaurant',phone='4156481444')",The phone number for arabian nights restaurant is 4156481444 .,"[""Arabian nights restaurant 's phone number is 4156481444""]",Arabian nights restaurant 's phone number is 4156481444,6.0,6.0,6.0
49,"inform(name='arabian nights restaurant',price_range='moderate',area='hayes valley or noma')","Arabian nights restaurant , is in the hayes valley or noma area with a moderate price range .",['Arabian nights restaurant has moderate price -s and is in hayes valley or noma .'],Arabian nights restaurant has moderate price -s and is in hayes valley or noma .,6.0,6.0,5.5
50,"inform(name='arabian nights restaurant',type=restaurant)",The name of the restaurant is arabian nights restaurant .,"['Arabian nights restaurant is a nice restaurant .', 'The restaurant is called arabian nights restaurant .']",Arabian nights restaurant is a nice restaurant .,6.0,5.0,5.0
51,"inform(name='assab eritrean restaurant',address='2845 geary blvd')",Assab eritrean restaurant 's address is 2845 geary blvd .,"[""Assab eritrean restaurant 's address is at 2845 geary blvd"", 'Assab eritrean restaurant is on 2845 geary blvd', 'The address for assab eritrean restaurant is 2845 geary blvd .']",Assab eritrean restaurant 's address is at 2845 geary blvd,5.5,5.0,5.5
52,"inform(name='assab eritrean restaurant',good_for_meal=dinner)","Assab eritrean restaurant , is good for dinner .",['Assab eritrean restaurant serves dinner .'],Assab eritrean restaurant serves dinner .,4.5,4.0,4.0
53,"inform(name='assab eritrean restaurant',phone='4154417083')",The phone number for assab eritrean restaurant is 4154417083 .,"['The phone number for assab eritrean restaurant is 4154417083 .', 'Assab eritrean restaurant phone number is 4154417083']",The phone number for assab eritrean restaurant is 4154417083 .,5.5,4.5,5.0
54,"inform(name='assab eritrean restaurant',postcode='94118')",The postcode of assab eritrean restaurant is 94118 .,['Assab eritrean restaurant postcode is 94118'],Assab eritrean restaurant postcode is 94118,6.0,6.0,6.0
55,"inform(name='assab eritrean restaurant',price='between 7 and 11 euro')",The price is between 7 and 11 euro at assab eritrean restaurant .,['Assab eritrean restaurant meal -s cost between 7 and 11 euro .'],Assab eritrean restaurant meal -s cost between 7 and 11 euro .,5.5,4.0,5.5
56,"inform(name='assab eritrean restaurant',price_range=cheap,address='2845 geary blvd')","Assab eritrean restaurant , is at 2845 geary blvd and has a cheap price range .",['Assab eritrean restaurant is cheap and the address is 2845 geary blvd .'],Assab eritrean restaurant is cheap and the address is 2845 geary blvd .,6.0,5.0,3.0
57,"inform(name='assab eritrean restaurant',price_range=cheap,near='laurel heights')",Assab eritrean restaurant near laurel heights offers cheap food .,"['Assab eritrean restaurant is a cheap restaurant near laurel heights', 'You could try the assab eritrean restaurant which is cheap and near laurel heights .']",Assab eritrean restaurant is a cheap restaurant near laurel heights,6.0,6.0,5.5
58,"inform(name='atelier crenn',address='3127 fillmore street')",Atelier crenn 's address is 3127 fillmore street .,['Atelier crenn is at 3127 fillmore street .'],Atelier crenn is at 3127 fillmore street .,5.5,4.5,5.5
59,"inform(name='atelier crenn',price_range=expensive)","Atelier crenn , is expensive .",['Atelier crenn is an expensive restaurant .'],Atelier crenn is an expensive restaurant .,4.0,4.5,3.0
60,"inform(name='atelier crenn',type=restaurant)",The name of the restaurant is atelier crenn .,['Atelier crenn is a type of restaurant .'],Atelier crenn is a type of restaurant .,6.0,5.5,4.5
61,"inform(name='aux delices restaurant',address='2327 polk street')",Aux delices restaurant 's address is 2327 polk street .,"[""Aux delices restaurant 's address is 2327 polk street ."", 'Aux delices restaurant -s is located at 2327 polk street']",Aux delices restaurant 's address is 2327 polk street .,6.0,5.5,5.5
62,"inform(name='aux delices restaurant',food=vietnamese,near='russian hill')",Aux delices restaurant near russian hill serves vietnamese .,"['Aux delices restaurant serves vietnamese food near russian hill .', 'There is a place called aux delices restaurant that serves vietnamese food near russian hill']",Aux delices restaurant serves vietnamese food near russian hill .,5.0,5.0,5.0
63,"inform(name='aux delices restaurant',kids_allowed=yes)",Aux delices restaurant allows children .,"['Aux delices restaurant allows kid -s .', 'Aux delices restaurant allows kid -s']",Aux delices restaurant allows kid -s .,5.0,4.0,5.0
64,"inform(name='bar crudo',address='655 divisadero street')",Bar crudo 's address is 655 divisadero street .,"['Bar crudo is at 655 divisadero street', 'Bar crudo is on 655 divisadero street']",Bar crudo is at 655 divisadero street,6.0,6.0,5.5
65,"inform(name='bar crudo',food='raw food')",There is a raw food restaurant called bar crudo .,"['Bar crudo serves raw food fits you .', 'Bar crudo serves raw food', 'Bar crudo serves raw food .']",Bar crudo serves raw food fits you .,6.0,6.0,6.0
66,"inform(name='bar crudo',phone='4154090679')",The phone number for bar crudo is 4154090679 .,"['Bar crudo number is 4154090679', 'The phone number to bar crudo is 4154090679', ""Bar crudo 's phone number is 4154090679 .""]",Bar crudo number is 4154090679,6.0,6.0,6.0
67,"inform(name='bar crudo',price_range=moderate)","Bar crudo , is moderate .",['Bar crudo price range is moderate'],Bar crudo price range is moderate,2.5,2.5,3.5
68,"inform(name='beijing restaurant',address='1801 alemany blvd')",Beijing restaurant 's address is 1801 alemany blvd .,"['The beijing restaurant is located at 1801 alemany blvd', 'The address for beijing restaurant is 1801 alemany blvd .', 'The address of beijing restaurant is 1801 alemany blvd .', 'Beijing restaurant is located on 1801 alemany blvd .', 'The address for the beijing restaurant is 1801 alemany blvd .']",The beijing restaurant is located at 1801 alemany blvd,5.5,6.0,6.0
69,"inform(name='beijing restaurant',food=chinese)",There is a chinese restaurant called beijing restaurant .,"['Beijing restaurant is serving chinese food', 'Beijing restaurant serves chinese food']",Beijing restaurant is serving chinese food,4.0,5.0,3.5
70,"inform(name='beijing restaurant',near='mission terrace')","Beijing restaurant , is near the mission terrace .",['The beijing restaurant is near to the mission terrace .'],The beijing restaurant is near to the mission terrace .,6.0,5.0,5.0
71,"inform(name='beijing restaurant',near='mission terrace or outer mission')","Beijing restaurant , is near the mission terrace or outer mission .",['Beijing restaurant is near mission terrace or outer mission'],Beijing restaurant is near mission terrace or outer mission,5.0,5.0,5.0
72,"inform(name='beijing restaurant',near='outer mission',price_range=cheap)",Beijing restaurant near outer mission offers cheap food .,"['Beijing restaurant is near outer mission , and offers cheap price -s .', 'Beijing restaurant is a nice restaurant near outer mission , with cheap price -s .']","Beijing restaurant is near outer mission , and offers cheap price -s .",6.0,5.5,5.0
73,"inform(name='beijing restaurant',phone='4153338182')",The phone number for beijing restaurant is 4153338182 .,"['The phone number of beijing restaurant is 4153338182', 'The phone number for the beijing restaurant is 4153338182', 'Beijing restaurant -s number is 4153338182', 'The beijing restaurant phone number is 4153338182 .', 'The phone number for beijing restaurant is 4153338182 .']",The phone number of beijing restaurant is 4153338182,6.0,6.0,6.0
74,"inform(name='beijing restaurant',price_range=cheap,near='outer mission')",Beijing restaurant near outer mission offers cheap food .,"['Beijing restaurant is in the cheap price range near outer mission .', 'Beijing restaurant is a cheap restaurant near outer mission .']",Beijing restaurant is in the cheap price range near outer mission .,5.5,6.0,5.5
75,"inform(name='beijing restaurant',type=restaurant)",The name of the restaurant is beijing restaurant .,"['The beijing restaurant is a nice restaurant', 'The beijing restaurant is a nice restaurant .']",The beijing restaurant is a nice restaurant,5.5,4.0,3.5
76,"inform(name=benu,address='22 hawthorne street')",Benu 's address is 22 hawthorne street .,['Benu is at 22 hawthorne street'],Benu is at 22 hawthorne street,5.5,6.0,5.5
77,"inform(name=benu,address='22 hawthorne street',postcode='94105')","Benu , is located at 22 hawthorne street , 94105 .","[""Benu 's address is 22 hawthorne street . It is postcode is 94105 .""]",Benu 's address is 22 hawthorne street . It is postcode is 94105 .,6.0,6.0,6.0
78,"inform(name='benu',area='hayes valley or financial district south')","Benu , is in the are of hayes valley or financial district south .",['Benu is located in the area of hayes valley or financial district south'],Benu is located in the area of hayes valley or financial district south,3.5,3.5,3.0
79,"inform(name=benu,food=asian,kids_allowed=no)","Benu , is a nice restaurant that serves asian food and does not allow children .",['Benu is a nice restaurant that serves asian food and does not allow child -s .'],Benu is a nice restaurant that serves asian food and does not allow child -s .,6.0,5.5,6.0
80,"inform(name=benu,phone='4156854860')",The phone number for benu is 4156854860 .,['The phone number for benu is 4156854860 .'],The phone number for benu is 4156854860 .,5.5,6.0,5.5
81,"inform(name=benu,price_range=expensive,near='financial district',food=asian)","Benu , is near financial district , it serves asian and is expensively priced .",['Benu has an expensive price range . It is close to the financial district and serves asian food'],Benu has an expensive price range . It is close to the financial district and serves asian food,6.0,3.0,2.0
82,"inform(name=benu,type=restaurant)",The name of the restaurant is benu .,"['Benu is a nice restaurant .', 'Benu is a nice restaurant']",Benu is a nice restaurant .,5.5,6.0,5.5
83,"inform(name=betelnut,area='cow hollow',kids_allowed=no,price_range=expensive)","Betelnut , is in the cow hollow area is it do not allow kids expensive .",['Betelnut is an expensive restaurant that does not allow kid -s in the cow hollow area .'],Betelnut is an expensive restaurant that does not allow kid -s in the cow hollow area .,3.0,1.0,1.0
84,"inform(name=betelnut,food=malaysian)",There is a malaysian restaurant called betelnut .,"['Betelnut is a malaysian restaurant', 'There is a malaysian restaurant called betelnut .']",Betelnut is a malaysian restaurant,5.0,5.5,5.0
85,"inform(name='betelnut',near='marina cow hollow',area='cow hollow or hayes valley',phone='4159298855')","Betelnut , is near marina cow hollow , , the , the , the , the , the , the , the , the , the , the , the , the , the , the and .",['Betelnut is near the marina cow hollow and in the cow hollow or hayes valley area . The phone number is 4159298855 .'],Betelnut is near the marina cow hollow and in the cow hollow or hayes valley area . The phone number is 4159298855 .,1.0,1.0,1.0
86,"inform(name='borobudur restaurant',address='700 post street',phone='4157751512')","Borobudur restaurant 's address is 700 post street , and its phone number is 4157751512 .","['Borobudur restaurant is located at 700 post street . Its phone number is 4157751512', 'The address to borobudur restaurant is 700 post street and their number is 4157751512']",Borobudur restaurant is located at 700 post street . Its phone number is 4157751512,6.0,5.0,5.5
87,"inform(name='borobudur restaurant',food=indonesian)",There is a indonesian restaurant called borobudur restaurant .,"['Borobudur restaurant serves indonesian food', 'The borobudur restaurant serves indonesian food .', 'There is borobudur restaurant -s that servers indonesian food', 'Borobudur restaurant serves indonesian food .']",Borobudur restaurant serves indonesian food,4.5,4.0,4.0
88,"inform(name='borobudur restaurant',type=restaurant)",The name of the restaurant is borobudur restaurant .,"['Borobudur restaurant is a nice restaurant', 'A restaurant called borobudur restaurant']",Borobudur restaurant is a nice restaurant,4.5,4.0,5.0
89,"inform(name='bund shanghai restaurant',address='640 jackson street')",Bund shanghai restaurant 's address is 640 jackson street .,"[""Bund shanghai restaurant 's address is 640 jackson street ."", 'Bund shanghai restaurant is located at 640 jackson street .']",Bund shanghai restaurant 's address is 640 jackson street .,6.0,5.0,5.0
90,"inform(name='bund shanghai restaurant',food=shanghainese)",There is a shanghainese restaurant called bund shanghai restaurant .,"['Bund shanghai restaurant serves shanghainese .', 'Bund shanghai restaurant is a shanghainese restaurant', 'Bund shanghai restaurant serves shanghainese food .', 'There is a place called bund shanghai restaurant that serves shanghainese food .']",Bund shanghai restaurant serves shanghainese .,6.0,4.0,4.5
91,"inform(name='bund shanghai restaurant',price_range=cheap)","Bund shanghai restaurant , is cheap .","['The bund shanghai restaurant fits your cheap price range .', 'Bund shanghai restaurant is cheap .', 'Bund shanghai restaurant is in the cheap price range .']",The bund shanghai restaurant fits your cheap price range .,6.0,5.5,4.5
92,"inform(name='bund shanghai restaurant',type=restaurant)",The name of the restaurant is bund shanghai restaurant .,"['The name of the restaurant is bund shanghai restaurant', 'Bund shanghai restaurant is a nice restaurant .', 'There is a place called bund shanghai restaurant the serves shanghainese food .', 'Bund shanghai restaurant serves great food .', 'Bund shanghai restaurant is a good restaurant .']",The name of the restaurant is bund shanghai restaurant,5.0,4.5,4.5
93,"inform(name='burma superstar',kids_allowed=no,price_range=moderate)","Burma superstar , is moderately prices and does not allow children .","['Burma superstar does not allow kid -s and is moderate -ly priced', 'The restaurant burma superstar is moderate -ly priced and does not allow kid -s .']",Burma superstar does not allow kid -s and is moderate -ly priced,6.0,4.5,3.5
94,"inform(name='burma superstar',near='inner richmond',price='between 15 and 22 euro')",There is a nice restaurant near inner richmond named burma superstar are between 15 and 22 euro .,"['Burma superstar is near inner richmond priced between 15 and 22 euro', 'The restaurant burma superstar is near inner richmond and is priced between 15 and 22 euro .']",Burma superstar is near inner richmond priced between 15 and 22 euro,6.0,4.0,5.0
95,"inform(name='burma superstar',phone='4153872147')",The phone number for burma superstar is 4153872147 .,"[""Burma superstar 's number is 4153872147"", 'The phone number for the burma superstar is 4153872147']",Burma superstar 's number is 4153872147,5.5,5.0,5.5
96,"inform(name=butterfly,kids_allowed=no)",There are no children allowed at butterfly .,"['No , butterfly does not allow kid -s .']","No , butterfly does not allow kid -s .",5.0,5.5,5.0
